iter	Passed	Remaining
400	31554	47135
401	31624	47044
402	31693	46950
403	31771	46870
404	31867	46817
405	31962	46762
406	32045	46691
407	32121	46607
408	32192	46517
409	32262	46426
410	32331	46333
411	32408	46252
412	32488	46176
413	32559	46086
414	32631	45999
415	32705	45913
416	32776	45823
417	32844	45730
418	32912	45637
419	32980	45544
420	33046	45449
421	33113	45354
422	33183	45264
423	33251	45172
424	33322	45082
425	33390	44991
426	33462	44903
427	33532	44814
428	33601	44724
429	33677	44641
430	33747	44553
431	33815	44460
432	33882	44368
433	33950	44276
434	34019	44186
435	34091	44100
436	34166	44017
437	34240	43933
438	34311	43847
439	34381	43758
440	34449	43667
441	34520	43579
442	34593	43496
443	34661	43404
444	34730	43315
445	34797	43224
446	34866	43134
447	34935	43045
448	35003	42955
449	35072	42866
450	35144	42780
451	35212	42691
452	35281	42602
453	35349	42512
454	35419	42425
455	35489	42337
456	35558	42249
457	35626	42161
458	35695	42072
459	35766	41986
460	35835	41898
461	35903	41809
462	35972	41721
463	36039	41631
464	36108	41543
465	36176	41456
466	36245	41367
467	36314	41280
468	36385	41195
469	36463	41118
470	36550	41051
471	36628	40974
472	36694	40883
473	36770	40804
474	36840	40718
475	36908	40630
476	36978	40544
477	37048	40458
478	37116	40371
479	37185	40284
480	37255	40198
481	37330	40119
482	37400	40033
483	37470	39948
484	37539	39861
485	37609	39776
486	37678	39689
487	37747	39603
488	37815	39517
489	37885	39431
490	37954	39346
491	38024	39261
492	38094	39176
493	38173	39100
494	38246	39018
495	38314	38932
496	38385	38848
497	38453	38762
498	38531	38685
499	38602	38602
500	38678	38523
501	38751	38442
502	38821	38358
503	38890	38273
504	38958	38187
505	39028	38103
506	39097	38018
507	39167	37934
508	39245	37857
509	39330	37788
510	39420	37723
511	39503	37651
512	39588	37581
513	39676	37514
514	39764	37447
515	39851	37379
516	39928	37302
517	40003	37223
518	40076	37142
519	40153	37065
520	40227	36985
521	40305	36907
522	40378	36827
523	40448	36743
524	40520	36661
525	40594	36581
526	40663	36496
527	40734	36413
528	40806	36332
529	40892	36262
530	40984	36198
531	41073	36131
532	41145	36050
533	41210	35962
534	41279	35878
535	41349	35795
536	41415	35708
537	41482	35622
538	41550	35537
539	41618	35453
540	41688	35369
541	41763	35290
542	41841	35214
543	41916	35136
544	41991	35056
545	42065	34977
546	42134	34893
547	42218	34822
548	42291	34742
549	42369	34666
550	42440	34584
551	42511	34502
552	42582	34419
553	42656	34340
554	42731	34262
555	42807	34184
556	42882	34105
557	42954	34025
558	43032	33948
559	43109	33871
560	43185	33793
561	43265	33719
562	43346	33645
563	43425	33570
564	43495	33487
565	43565	33405
566	43635	33323
567	43707	33242
568	43778	33160
569	43851	33081
570	43921	32998
571	43996	32920
572	44079	32848
573	44154	32769
574	44223	32687
575	44294	32605
576	44365	32524
577	44437	32444
578	44507	32362
579	44576	32279
580	44643	32195
581	44714	32114
582	44782	32031
583	44851	31949
584	44921	31867
585	44991	31785
586	45061	31704
587	45137	31626
588	45208	31546
589	45286	31470
590	45411	31426
591	45494	31354
592	45565	31273
593	45644	31198
594	45716	31117
595	45786	31036
596	45855	30954
597	45925	30873
598	45995	30791
599	46065	30710
600	46133	30628
601	46202	30545
602	46270	30463
603	46339	30381
604	46412	30302
605	46481	30220
606	46552	30140
607	46620	30057
608	46694	29979
609	46771	29903
610	46848	29826
611	46920	29747
612	47008	29677
613	47083	29599
614	47161	29523
615	47231	29443
616	47304	29364
617	47380	29286
618	47456	29209
619	47536	29135
620	47625	29066
621	47708	28993
622	47782	28914
623	47855	28835
624	47927	28756
625	48001	28678
626	48073	28598
627	48143	28517
628	48214	28438
629	48291	28361
630	48365	28283
631	48435	28203
632	48504	28122
633	48578	28043
634	48650	27964
635	48722	27885
636	48793	27805
637	48865	27726
638	48936	27646
639	49008	27567
640	49079	27487
641	49148	27406
642	49218	27326
643	49290	27247
644	49364	27169
645	49432	27088
646	49498	27006
647	49570	26927
648	49640	26847
649	49714	26769
650	49789	26691
651	49865	26615
652	49938	26537
653	50015	26460
654	50085	26380
655	50153	26300
656	50228	26222
657	50302	26144
658	50378	26068
659	50449	25989
660	50519	25909
661	50589	25829
662	50659	25750
663	50727	25669
664	50806	25594
665	50882	25517
666	50950	25436
667	51022	25358
668	51104	25284
669	51169	25202
670	51236	25122
671	51308	25043
672	51381	24965
673	51446	24883
674	51512	24802
675	51581	24722
676	51650	24642
677	51747	24576
678	51836	24506
679	51936	24440
680	52033	24374
681	52133	24308
682	52238	24245
683	52336	24178
684	52428	24109
685	52519	24039
686	52610	23969
687	52696	23897
688	52781	23824
689	52870	23753
690	52948	23677
691	53038	23606
692	53124	23534
693	53213	23462
694	53297	23389
695	53381	23315
696	53471	23245
697	53553	23170
698	53635	23096
699	53718	23022
700	53793	22944
701	53878	22871
702	53967	22800
703	54047	22724
704	54128	22649
705	54214	22576
706	54302	22504
707	54387	22431
708	54463	22353
709	54540	22277
710	54609	22197
711	54681	22118
712	54764	22044
713	54853	21972
714	54937	21898
715	55012	21820
716	55091	21744
717	55178	21671
718	55260	21597
719	55342	21522
720	55418	21444
721	55490	21366
722	55567	21289
723	55643	21212
724	55731	21139
725	55820	21067
726	55901	20991
727	55972	20912
728	56039	20832
729	56109	20752
730	56180	20673
731	56251	20594
732	56333	20519
733	56420	20446
734	56492	20368
735	56573	20292
736	56650	20215
737	56726	20138
738	56803	20061
739	56872	19982
740	56946	19904
741	57025	19828
742	57116	19756
743	57204	19683
744	57275	19604
745	57343	19524
746	57412	19444
747	57483	19366
748	57554	19287
749	57628	19209
750	57697	19129
751	57765	19050
752	57834	18971
753	57903	18891
754	57973	18812
755	58042	18733
756	58113	18654
757	58181	18575
758	58254	18497
759	58393	18440
760	58537	18384
761	58654	18319
762	58739	18245
763	58831	18172
764	58913	18097
765	58990	18020
766	59065	17942
767	59136	17864
768	59221	17789
769	59308	17715
770	59395	17641
771	59486	17568
772	59567	17492
773	59640	17414
774	59717	17337
775	59790	17259
776	59861	17180
777	59949	17106
778	60031	17030
779	60113	16954
780	60195	16879
781	60278	16804
782	60362	16728
783	60445	16653
784	60528	16577
785	60610	16502
786	60698	16427
787	60771	16349
788	60843	16271
789	60909	16191
790	60979	16112
791	61052	16033
792	61130	15957
793	61206	15879
794	61280	15801
795	61350	15722
796	61421	15644
797	61491	15565
798	61564	15487
799	61631	15407
800	61703	15329
801	61774	15250
802	61845	15172
803	61918	15094
804	61990	15016
805	62059	14937
806	62129	14858
807	62197	14779
808	62266	14700
809	62338	14622
810	62409	14544
811	62480	14466
812	62551	14387
813	62620	14308
814	62690	14230
815	62759	14151
816	62830	14073
817	62901	13995
818	62968	13916
819	63037	13837
820	63106	13758
821	63174	13680
822	63245	13602
823	63322	13525
824	63400	13448
825	63476	13371
826	63548	13293
827	63624	13216
828	63696	13138
829	63764	13060
830	63836	12982
831	63907	12904
832	63978	12826
833	64048	12748
834	64117	12669
835	64187	12591
836	64256	12513
837	64325	12435
838	64396	12357
839	64467	12279
840	64535	12201
841	64604	12122
842	64673	12044
843	64741	11966
844	64809	11888
845	64879	11810
846	64948	11732
847	65017	11654
848	65087	11576
849	65157	11498
850	65229	11420
851	65301	11343
852	65369	11265
853	65440	11187
854	65516	11111
855	65595	11034
856	65676	10958
857	65746	10881
858	65817	10803
859	65888	10725
860	65959	10648
861	66029	10570
862	66100	10493
863	66169	10415
864	66238	10337
865	66308	10260
866	66376	10182
867	66445	10104
868	66516	10027
869	66593	9950
870	66677	9875
871	66757	9799
872	66826	9721
873	66899	9644
874	66968	9566
875	67037	9489
876	67108	9411
877	67177	9334
878	67245	9256
879	67321	9180
880	67410	9105
881	67480	9028
882	67556	8951
883	67626	8874
884	67696	8796
885	67775	8720
886	67849	8643
887	67918	8566
888	67994	8489
889	68063	8412
890	68131	8334
891	68201	8257
892	68273	8180
893	68341	8103
894	68412	8026
895	68481	7948
896	68548	7871
897	68618	7794
898	68689	7717
899	68757	7639
900	68825	7562
901	68896	7485
902	68964	7408
903	69032	7330
904	69102	7253
905	69171	7176
906	69240	7099
907	69309	7022
908	69379	6945
909	69453	6869
910	69520	6791
911	69586	6714
912	69654	6637
913	69720	6560
914	69788	6483
915	69855	6406
916	69928	6329
917	70002	6252
918	70075	6176
919	70144	6099
920	70217	6023
921	70285	5946
922	70350	5868
923	70420	5792
924	70486	5715
925	70556	5638
926	70624	5561
927	70694	5484
928	70761	5408
929	70829	5331
930	70897	5254
931	70965	5177
932	71033	5100
933	71102	5024
934	71171	4947
935	71240	4871
936	71308	4794
937	71374	4717
938	71442	4641
939	71511	4564
940	71579	4488
941	71647	4411
942	71714	4334
943	71781	4258
944	71849	4181
945	71916	4105
946	71982	4028
947	72049	3952
948	72117	3875
949	72192	3799
950	72266	3723
951	72334	3647
952	72405	3570
953	72473	3494
954	72543	3418
955	72616	3342
956	72685	3265
957	72751	3189
958	72819	3113
959	72890	3037
960	72957	2960
961	73023	2884
962	73091	2808
963	73159	2732
964	73226	2655
965	73293	2579
966	73362	2503
967	73430	2427
968	73499	2351
969	73567	2275
970	73636	2199
971	73704	2123
972	73773	2047
973	73840	1971
974	73908	1895
975	73977	1819
976	74045	1743
977	74112	1667
978	74180	1591
979	74246	1515
980	74316	1439
981	74393	1363
982	74467	1287
983	74536	1211
984	74603	1136
985	74670	1060
986	74736	984
987	74807	908
988	74874	832
989	74939	756
990	75007	681
991	75076	605
992	75142	529
993	75211	453
994	75279	378
995	75343	302
996	75414	226
997	75484	151
998	75557	75
999	75625	0
